timestamp,algorithm,n_to_factor,true_factor1,true_factor2,found_factor1,found_factor2,success,time_seconds,quantum_complexity,classical_complexity,advantage_description
2025-12-27T19:17:53.586672,shors_factoring,15,3,5,5,3,True,0.000012,O(log³(15)),O(exp(15^(1/3))),Exponential speedup: quantum period finding in O(log³ N) vs classical O(exp(N^(1/3)))
2025-12-27T19:17:53.586691,shors_factoring,21,3,7,3,7,True,0.000002,O(log³(21)),O(exp(21^(1/3))),Exponential speedup: quantum period finding in O(log³ N) vs classical O(exp(N^(1/3)))
2025-12-27T19:17:53.586697,shors_factoring,35,5,7,7,5,True,0.000001,O(log³(35)),O(exp(35^(1/3))),Exponential speedup: quantum period finding in O(log³ N) vs classical O(exp(N^(1/3)))
2025-12-27T19:17:53.586703,shors_factoring,77,7,11,7,11,True,0.000005,O(log³(77)),O(exp(77^(1/3))),Exponential speedup: quantum period finding in O(log³ N) vs classical O(exp(N^(1/3)))
2025-12-27T19:17:53.586708,shors_factoring,91,7,13,7,13,True,0.000011,O(log³(91)),O(exp(91^(1/3))),Exponential speedup: quantum period finding in O(log³ N) vs classical O(exp(N^(1/3)))
2025-12-27T19:17:53.586714,shors_factoring,143,11,13,11,13,True,0.000012,O(log³(143)),O(exp(143^(1/3))),Exponential speedup: quantum period finding in O(log³ N) vs classical O(exp(N^(1/3)))
